SERIAL_ID,ORDER_ID,TICKET_ITEM_ID,PRINT_TIMES,IDENTITY,PROGRAM_ID,PROGRAM_NAME,CREATE_DATE,PLAY_DATE,PLAY_TIME,TICKET_BOOTH_RUNNING_NUM,PRICE,T_STANDARD_TICKET_TYPE_NAME,SEAT_REGION_NAME,FLOOR_NO,SEAT_ROW,SEAT_NO,TICKET_SHIPPING_RATE_ID,TICKET_FEE,SHIPPING_ZIP1,SHIPPING_COUNTRY_ID1,SHIPPING_TOWN_ID1,SHIPPING_COUNTRY_ID2,SHIPPING_TOWN_ID2,SHIPPING_ZIP2,ORDER_NUM,TICKET_ENTRANCE_NO,SEX,ADDRESS
331,26237,52196,2,K12197,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/10/14 p.m. 11:25:58.,10/17/10,15:00,41139,1800,non-member,Floor3Sectionyellow3I,1,11,10,4,50,114,1,10,5,61,300,26237,0,male,2103
332,26237,52195,2,K12197,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/10/14 p.m. 11:25:58.,10/17/10,15:00,41138,1800,non-member,Floor3Sectionyellow3I,1,11,11,4,50,114,1,10,5,61,300,26237,0,male,2103
378,24923,46903,3,L22289,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 11:26:37.,10/17/10,15:00,39579,1800,member,Floor3Sectionyellow3C,1,25,7,2,50,434,10,129,10,129,434,24923,0,male,2682
379,24923,46902,3,L22289,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 11:26:37.,10/17/10,15:00,39580,1800,member,Floor3Sectionyellow3C,1,25,6,2,50,434,10,129,10,129,434,24923,0,male,2682
586,24930,46919,4,C12101,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 11:28:56.,10/17/10,15:00,39596,1800,member,Floor3Sectionyellow3C,1,19,3,2,50,201,2,14,2,14,201,24930,0,male,718
603,26034,51814,2,T12237,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/10/12 p.m. 11:32:13.,10/17/10,15:00,40890,1800,non-member,Floor3Sectionyellow3G,1,12,18,4,50,900,21,295,21,295,900,26034,0,male,765
608,23352,43680,13,133062,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:19:26.,10/17/10,15:00,36400,3500,member,Floor2Sectionred2C,1,11,10,2,50,104,1,3,1,3,104,23352,0,female,1199
609,23352,43678,12,133062,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:19:26.,10/17/10,15:00,36398,3500,member,Floor2Sectionred2C,1,11,9,2,50,104,1,3,1,3,104,23352,0,female,1199
616,23603,44220,3,H22363,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:41:03.,10/17/10,15:00,36939,3500,member,Floor2Sectionpurple2C,1,12,7,2,50,320,7,75,7,75,320,23603,0,female,755
617,23603,44219,3,H22363,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:41:03.,10/17/10,15:00,36938,3500,member,Floor2Sectionpurple2C,1,12,8,2,50,320,7,75,7,75,320,23603,0,female,755
638,23156,43258,4,A27001,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:04:38.,10/17/10,15:00,35985,4000,member,FloorB1FloorSectionC,1,,,2,50,221,3,23,3,23,221,23156,1,male,886
639,23156,43257,4,A27001,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 06:04:38.,10/17/10,15:00,35984,4000,member,FloorB1FloorSectionC,1,,,2,50,221,3,23,3,23,221,23156,1,male,886
648,21734,40008,4,F22465,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 03:12:52.,10/17/10,15:00,32750,3500,member,Floor2Sectionyellow2E,1,6,13,2,50,241,3,39,3,39,241,21734,0,female,897
649,21734,40007,4,F22465,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 03:12:52.,10/17/10,15:00,32749,3500,member,Floor2Sectionyellow2E,1,6,14,2,50,241,3,39,3,39,241,21734,0,female,897
714,24207,45509,3,F22891,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 08:24:48.,10/17/10,15:00,38191,1800,member,Floor3Sectionyellow3H,1,7,9,2,50,241,3,39,3,39,241,24207,0,female,1213
715,24207,45508,3,F22891,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 08:24:48.,10/17/10,15:00,38193,1800,member,Floor3Sectionyellow3H,1,7,7,2,50,241,3,39,3,39,241,24207,0,female,1213
716,24207,45507,3,F22891,11,Girls Generation. THE lst ASIA TOUR Into the new world,2010/9/18 p.m. 08:24:48.,10/17/10,15:00,38192,1800,member,Floor3Sectionyellow3H,1,7,8,2,50,241,3,39,3,39,241,24207,0,female,1213
